date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:51	107/107	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Jul%202024%2012:27:51%20GMT	https://rayyap.com/robots.txt		(from )
15:27:52	79582/79582	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2012:27:51%20GMT	https://rayyap.com/reservation/	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/reservation/index.html	(from )
15:27:52	1548/1548	---M-Z	200	added ('OK')	text/css	etag:%2260c-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.4	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/maineb11.css	(from https://rayyap.com/reservation/)
15:27:52	39913/39913	---M-Z	200	added ('OK')	text/css	etag:%229be9-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/wpforms/assets/css/wpforms-full.min.css?ver=1.7.4.2	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/wpforms/assets/css/wpforms-full.mine945.css	(from https://rayyap.com/reservation/)
15:27:53	118952/118952	---M-Z	200	added ('OK')	text/css	etag:%221d0a8-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/elementor/assets/css/frontend-lite-rtl.min.css?ver=3.21.8	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/elementor/assets/css/frontend-lite-rtl.min3cad.css	(from https://rayyap.com/reservation/)
15:27:53	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-61a278410bc80-gzip%22	https://rayyap.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://rayyap.com/reservation/)
15:27:53	1107/1107	---M-Z	200	added ('OK')	text/css	etag:%22453-61a27870509cd-gzip%22	https://rayyap.com/wp-content/uploads/elementor/css/post-5.css?ver=1717606931	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/uploads/elementor/css/post-5be0d.css	(from https://rayyap.com/reservation/)
15:27:53	9475/9475	---M-Z	200	added ('OK')	text/css	etag:%222503-61a278706fdce-gzip%22	https://rayyap.com/wp-content/uploads/elementor/css/global.css?ver=1717606931	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/uploads/elementor/css/globalbe0d.css	(from https://rayyap.com/reservation/)
15:27:54	8932/8932	---M-Z	200	added ('OK')	text/css	etag:%2222e4-61a278cd4b88c-gzip%22	https://rayyap.com/wp-content/uploads/elementor/css/post-25.css?ver=1717607029	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/uploads/elementor/css/post-25b25b.css	(from https://rayyap.com/reservation/)
15:27:54	4722/4722	---M-Z	200	added ('OK')	text/css	etag:%221272-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/css/bootstrap-light.min.css?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/css/bootstrap-light.min8c10.css	(from https://rayyap.com/reservation/)
15:27:54	49931/49931	---M-Z	200	added ('OK')	text/css	etag:%22c30b-61a27841ffec0-gzip%22	https://rayyap.com/wp-content/themes/woodmart/css/parts/base-rtl.min.css?ver=7.5.1	C:/Users/XPRISTO/Desktop/reservation/1/rayyap.com/wp-content/themes/woodmart/css/parts/base-rtl.min8c10.css	(from https://rayyap.com/reservation/)
